COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_FORMAT_DETECTADO,BLOB_WxH,FILE_SALVO,STATUS,COM_ULTIMA_ALTERACAO
EXCLUSIVA I VITROLAB.mp4,EXCLUSIVA - VITROLAB,1,BMP,160x90,C:\EPG\thumbs\EXCLUSIVA I VITROLAB.jpg,OK,2025-08-28 12:51:39.858000
DIA D I ORGANIZAÇÃO MUNDIAL DA SAÚDE.mp4,DIA D (2023) - EP2 - ORGANIZAÇÃO MUNDIAL DA SAÚDE,1,BMP,160x90,C:\EPG\thumbs\DIA D I ORGANIZAÇÃO MUNDIAL DA SAÚDE.jpg,OK,2025-08-27 12:31:08.447000
PÉ DA LETRA I PICAR A MULA.mp4,PÉ DA LETRA (2014) - PICAR A MULA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:28:09.260000
DIA D I PREVENÇÃO E SAÚDE.mp4,DIA D (2023) - EP1 - PREVENÇÃO E SAÚDE,1,BMP,160x90,C:\EPG\thumbs\DIA D I PREVENÇÃO E SAÚDE.jpg,OK,2025-08-27 12:30:48.398000
DIA D I IST.mp4,DIA D (2024) - EP1 - IST,1,BMP,160x90,C:\EPG\thumbs\DIA D I IST.jpg,OK,2025-09-18 12:08:41.270000
DIA D I SISTEMA ÚNICO DE SAÚDE.mp4,DIA D (2023) - EP4 - SISTEMA ÚNICO DE SAÚDE,1,BMP,160x90,C:\EPG\thumbs\DIA D I SISTEMA ÚNICO DE SAÚDE.jpg,OK,2025-08-27 12:32:06.748000
DIA D I MINISTÉRIO DA SAÚDE.mp4,DIA D (2023) - EP3 - MINISTÉRIO DA SAÚDE,1,BMP,160x90,C:\EPG\thumbs\DIA D I MINISTÉRIO DA SAÚDE.jpg,OK,2025-08-27 12:31:30.346000
EXCLUSIVA I AFRORAGGA FLOWMAN.mp4,EXCLUSIVA - AFRORAGGA FLOWMAN,1,BMP,160x90,C:\EPG\thumbs\EXCLUSIVA I AFRORAGGA FLOWMAN.jpg,OK,2025-08-28 12:49:24.780000
(IN)CONFIDÊNCIAS I JOEL ZITO EP4.mp4,(IN)CONFIDÊNCIAS (2025) - EP4 - JOEL ZITO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:55:23.236000
DIA D I DIU.mp4,DIA D (2024) - EP3 - DIU,1,BMP,160x90,C:\EPG\thumbs\DIA D I DIU.jpg,OK,2025-09-18 12:08:41.306000
EXCLUSIVA I AS FULÔ DO CERRADO.mp4,EXCLUSIVA - AS FULÔ DO CERRADO,1,BMP,160x90,C:\EPG\thumbs\EXCLUSIVA I AS FULÔ DO CERRADO.jpg,OK,2025-08-28 12:49:31.960000
DIA D I EXAME PREVENTIVO.mp4,DIA D (2024) - EP4 - EXAME PREVENTIVO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 12:08:41.360000
DIA D I HPV.mp4,DIA D (2024) - EP2 - HPV,1,BMP,160x90,C:\EPG\thumbs\DIA D I HPV.jpg,OK,2025-09-18 12:08:41.272000
(IN)CONFIDÊNCIAS I MIA COUTO EP9.mp4,(IN)CONFIDÊNCIAS (2025) - EP9 - MIA COUTO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:55:44.464000
(IN)CONFIDÊNCIAS I MIA COUTO EP10.mp4,(IN)CONFIDÊNCIAS (2025) - EP10 - MIA COUTO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:56:26.890000
(IN)CONFIDÊNCIAS I ROBERT DARNTON EP11.mp4,(IN)CONFIDÊNCIAS (2025) - EP11 - ROBERT DARNTON,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:54:38.497000
IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 1).mp4,IAGORA ENTREVISTA - GAMIFICAÇÃO E IA,1,BMP,160x90,C:\EPG\thumbs\IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 1).jpg,OK,2025-09-02 12:37:12.886000
(IN)CONFIDÊNCIAS I ROBERT DARNTON EP12.mp4,(IN)CONFIDÊNCIAS (2025) - EP12 - ROBERT DARNTON,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:54:48.379000
IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 2).mp4,IAGORA ENTREVISTA - GAMIFICAÇÃO E IA,1,BMP,160x90,C:\EPG\thumbs\IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 2).jpg,OK,2025-09-02 12:37:24.037000
(IN)CONFIDÊNCIAS I ADÉLIA PRADO EP1.mp4,(IN)CONFIDÊNCIAS (2025) - EP1 - ADÉLIA PRADO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:54:53.694000
(IN)CONFIDÊNCIAS I ADÉLIA PRADO EP2.mp4,(IN)CONFIDÊNCIAS (2025) - EP2 - ADÉLIA PRADO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:55:13.043000
(IN)CONFIDÊNCIAS I JOÃO MOREIRA SALLES EP7.mp4,(IN)CONFIDÊNCIAS (2025) - EP7 - JOÃO MOREIRA SALLES,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:55:36.087000
(IN)CONFIDÊNCIAS I JOÃO MOREIRA SALLES EP8.mp4,(IN)CONFIDÊNCIAS (2025) - EP8 - JOÃO MOREIRA SALLES,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:55:40.181000
[EM]CANTOS I MARGARIDAS.mp4,[EM]CANTOS - MARGARIDAS,1,BMP,160x90,C:\EPG\thumbs\[EM]CANTOS I MARGARIDAS.jpg,OK,2025-08-25 14:07:08.500000
(IN)CONFIDÊNCIAS I JOEL ZITO EP3.mp4,(IN)CONFIDÊNCIAS (2025) - EP3 - JOEL ZITO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:55:18.576000
[EM]CANTOS I RSCO TORTO.mp4,[EM]CANTOS - R/SCO TORTO,1,BMP,160x90,C:\EPG\thumbs\[EM]CANTOS I RSCO TORTO.jpg,OK,2025-08-25 14:07:41.028000
(EM)CANTOS I AFRO HONEY.mp4,[EM]CANTOS - AFRO HONEY,1,BMP,160x90,C:\EPG\thumbs\(EM)CANTOS I AFRO HONEY.jpg,OK,2025-08-28 10:07:50.116000
(EM)CANTOS I BATALHA DA ESCADA.mp4,[EM]CANTOS - BATALHA DA ESCADA,1,BMP,160x90,C:\EPG\thumbs\(EM)CANTOS I BATALHA DA ESCADA.jpg,OK,2025-08-26 10:11:31.880000
(EM)CANTOS I ELLEFANTE.mp4,[EM]CANTOS - ELLEFANTE,1,BMP,160x90,C:\EPG\thumbs\(EM)CANTOS I ELLEFANTE.jpg,OK,2025-08-26 10:11:25.545000
(EM)CANTOS I MARCELO CAFÉ.mp4,[EM]CANTOS - MARCELO CAFÉ,1,BMP,160x90,C:\EPG\thumbs\(EM)CANTOS I MARCELO CAFÉ.jpg,OK,2025-08-26 10:11:18.865000
(EM)CANTOS I PRETO COSMO.mp4,[EM]CANTOS - PRETO COSMO,1,BMP,160x90,C:\EPG\thumbs\(EM)CANTOS I PRETO COSMO.jpg,OK,2025-08-26 10:11:12.224000
(EM)CANTOS I VÍRGULAS.mp4,[EM]CANTOS - VÍRGULAS,1,BMP,160x90,C:\EPG\thumbs\(EM)CANTOS I VÍRGULAS.jpg,OK,2025-08-26 10:11:04.034000
[EM]CANTOS I AMANDA MAIA.mp4,[EM]CANTOS - AMANDA MAIA,1,BMP,160x90,C:\EPG\thumbs\[EM]CANTOS I AMANDA MAIA.jpg,OK,2025-08-25 14:05:38.501000
[EM]CANTOS I DENARO.mp4,[EM]CANTOS - DENARO,1,BMP,160x90,C:\EPG\thumbs\[EM]CANTOS I DENARO.jpg,OK,2025-08-25 14:05:45.588000
[EM]CANTOS I GAIVOTA NAVES.mp4,[EM]CANTOS - GAIVOTA NAVES,1,BMP,160x90,C:\EPG\thumbs\[EM]CANTOS I GAIVOTA NAVES.jpg,OK,2025-08-25 14:05:53.404000
[EM]CANTOS I GALINHA PRETA.mp4,[EM]CANTOS - GALINHA PRETA,1,BMP,160x90,C:\EPG\thumbs\[EM]CANTOS I GALINHA PRETA.jpg,OK,2025-08-25 14:05:59.756000
[EM]CANTOS I JULLYANA FRESAN.mp4,[EM]CANTOS - JULLYANA FRESAN,1,BMP,160x90,C:\EPG\thumbs\[EM]CANTOS I JULLYANA FRESAN.jpg,OK,2025-08-25 14:06:52.951000
[EM]CANTOS I LIBERDADE SINFONIA.mp4,[EM]CANTOS - LIBERDADE SINFONIA,1,BMP,160x90,C:\EPG\thumbs\[EM]CANTOS I LIBERDADE SINFONIA.jpg,OK,2025-08-25 14:07:01.117000
A CAVERNA DE PETRA I EPISÓDIO 12.mp4,A CAVERNA DE PETRA - EP12 - PRINTI PERFEITA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:36:25.931000
A CAVERNA DE PETRA I EPISÓDIO 13.mp4,A CAVERNA DE PETRA - EP13 - (DES)INFORMAÇÃO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:36:32.643000
A CAVERNA DE PETRA I EPISÓDIO 1.mp4,A CAVERNA DE PETRA - EP1 - CRESCER OU NÃO CRESCER?,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:36:05.482000
A CAVERNA DE PETRA I EPISÓDIO 2.mp4,A CAVERNA DE PETRA - EP2 - O CARAPAÇA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:36:47.253000
A CAVERNA DE PETRA I EPISÓDIO 3.mp4,A CAVERNA DE PETRA - EP3 - SOLTE SUA VOZ,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:36:53.677000
A CAVERNA DE PETRA I EPISÓDIO 4.mp4,A CAVERNA DE PETRA - EP4 - JARDINEIRA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:37:00.364000
A CAVERNA DE PETRA I EPISÓDIO 5.mp4,A CAVERNA DE PETRA - EP5 - MEDO DE ESCURO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:37:06.563000
A CENA MUDA I A TRAPEZISTA.mp4,A CENA MUDA (2015) - EP3 - A TRAPEZISTA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:43:35.905000
A CAVERNA DE PETRA I EPISÓDIO 6.mp4,A CAVERNA DE PETRA - EP6 - MURO ROSANIL,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:37:12.932000
A CAVERNA DE PETRA I EPISÓDIO 7.mp4,A CAVERNA DE PETRA - EP7 - O AGENTE NADA SECRETO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:37:19.254000
A CAVERNA DE PETRA I EPISÓDIO 8.mp4,A CAVERNA DE PETRA - EP8 - ESPELHO MEU,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:37:25.444000
A CAVERNA DE PETRA I EPISÓDIO 9.mp4,A CAVERNA DE PETRA - EP9 - A PROVA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:37:34.331000
A CAVERNA DE PETRA I EPISÓDIO 10.mp4,A CAVERNA DE PETRA - EP10 - PLUGADOS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:36:12.188000
A CAVERNA DE PETRA I EPISÓDIO 11.mp4,A CAVERNA DE PETRA - EP11 - UMA MÃE (IM)PERFEITA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-17 14:36:19.435000
"ALMANAQUE SAÚDE I DIREITOS, GÊNEROS, COLETIVOS .mp4","ALMANAQUE SAÚDE - DIREITOS, GÊNEROS, COLETIVOS ",1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:21.064000
A CENA MUDA I CORTADOR CEBOLA.mp4,A CENA MUDA (2015) - EP4 - CORTANDO CEBOLA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:43:36.001000
ALÉM DOS MUROS I ARTHUR E RAQUEL.mp4,ALÉM DOS MUROS (2024) - ARTHUR E RAQUEL,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:58:01.962000
A CENA MUDA I EU VOU TE CONTAR.mp4,A CENA MUDA (2015) - EP2 - EU VOU TE CONTAR,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:43:35.695000
A CENA MUDA I GUARDADOR DE REBANHOS.mp4,A CENA MUDA (2015) - EP1 - GUARDADOR DE REBANHOS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-19 09:43:35.442000
ALÉM DOS MUROS I DALILA XAVIER.mp4,ALÉM DOS MUROS (2024) - DALILA XAVIER,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-16 14:58:08.216000
ALMANAQUE SAÚDE I DROGAS.mp4,ALMANAQUE SAÚDE - DROGAS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:21.284000
ALMANAQUE SAÚDE I ERGONOMIA.mp4,ALMANAQUE SAÚDE - ERGONOMIA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:21.494000
ALMANAQUE SAÚDE I ESTRESSE.mp4,ALMANAQUE SAÚDE - ESTRESSE,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:21.716000
ALMANAQUE SAÚDE I GESTAÇÃO.mp4,ALMANAQUE SAÚDE - GESTAÇÃO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:21.934000
"ALMANAQUE SAÚDE I GRIPE, DENGUE, ZICA.mp4","ALMANAQUE SAÚDE - GRIPE, DENGUE, ZICA",1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:22.147000
ALMANAQUE SAÚDE I HIPERTENSÃO.mp4,ALMANAQUE SAÚDE - HIPERTENSÃO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:22.361000
ALMANAQUE SAÚDE I IMUNIZAÇÃO.mp4,ALMANAQUE SAÚDE - IMUNIZAÇÃO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:22.558000
ALMANAQUE SAÚDE I JOELHOS.mp4,ALMANAQUE SAÚDE - JOELHOS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:22.768000
ALMANAQUE SAÚDE I OLHOS.mp4,ALMANAQUE SAÚDE - OLHOS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:22.970000
ALMANAQUE SAÚDE I OSSOS.mp4,ALMANAQUE SAÚDE - OSSOS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:23.189000
ALMANAQUE SAÚDE I OUVIDO.mp4,ALMANAQUE SAÚDE - OUVIDO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:23.401000
ALMANAQUE SAÚDE I PELE.mp4,ALMANAQUE SAÚDE - PELE,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:23.604000
ALMANAQUE SAÚDE I QUALIDADE DE VIDA.mp4,ALMANAQUE SAÚDE - QUALIDADE DE VIDA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:23.803000
ALMANAQUE SAÚDE I QUALIDADE DO SONO.mp4,ALMANAQUE SAÚDE - QUALIDADE DO SONO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:24.016000
ALMANAQUE SAÚDE I SAÚDE BUCAL.mp4,ALMANAQUE SAÚDE - SAÚDE BUCAL,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:24.223000
CANAL DA HISTÓRIA I A HISTÓRIA DA PRIMEIRA TEMPORADA.mp4,CANAL DA HISTÓRIA - HISTÓRIA DA PRIMEIRA TEMPORADA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:23.812000
ALMANAQUE SAÚDE I SISTEMA DIGESTIVO.mp4,ALMANAQUE SAÚDE - SISTEMA DIGESTIVO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:24.432000
ALMANAQUE SAÚDE I TENDINITE.mp4,ALMANAQUE SAÚDE - TENDINITE,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:24.641000
CANAL DA HISTÓRIA I ANTONIETA DE BARROS .mp4,CANAL DA HISTÓRIA - ANTONIETA DE BARROS ,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:20.920000
ALMANAQUE SAÚDE I TRANSTORNOS MENTAIS.mp4,ALMANAQUE SAÚDE - TRANSTORNOS MENTAIS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:24.837000
ALMANAQUE SAÚDE I VOLUNTARIADO.mp4,ALMANAQUE SAÚDE - VOLUNTARIADO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:24.928000
CANAL DA HISTÓRIA I ANTÔNIO CONSELHEIRO.mp4,CANAL DA HISTÓRIA - ANTÔNIO CONSELHEIRO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:21.140000
ALMANAQUE SAÚDE I ALIMENTAÇÃO.mp4,ALMANAQUE SAÚDE - ALIMENTAÇÃO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:19.978000
ALMANAQUE SAÚDE I CIRCULAÇÃO.mp4,ALMANAQUE SAÚDE - CIRCULAÇÃO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:20.193000
ALMANAQUE SAÚDE I CORAÇÃO.mp4,ALMANAQUE SAÚDE - CORAÇÃO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:20.412000
ALMANAQUE SAÚDE I CUIDADO MATERNO .mp4,ALMANAQUE SAÚDE - CUIDADO MATERNO ,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:20.629000
ALMANAQUE SAÚDE I DIABETES.mp4,ALMANAQUE SAÚDE - DIABETES,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 10:56:20.842000
CANAL DA HISTÓRIA I BANDEIRANTE PAULISTA .mp4,CANAL DA HISTÓRIA - BANDEIRANTE PAULISTA ,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:21.367000
CANAL DA HISTÓRIA I BARBOSA .mp4,CANAL DA HISTÓRIA - BARBOSA ,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:21.595000
CANAL DA HISTÓRIA I CARLOS LACERDA.mp4,CANAL DA HISTÓRIA - CARLOS LACERDA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:21.821000
CANAL DA HISTÓRIA I CARLOTA JOAQUINA.mp4,CANAL DA HISTÓRIA - CARLOTA JOAQUINA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:22.045000
CANAL DA HISTÓRIA I CARMEN MIRANDA.mp4,CANAL DA HISTÓRIA - CARMEN MIRANDA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:22.266000
CANAL DA HISTÓRIA I DOM PEDRO I.mp4,CANAL DA HISTÓRIA - DOM PEDRO I,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:22.485000
CANAL DA HISTÓRIA I DOM PEDRO II.mp4,CANAL DA HISTÓRIA - DOM PEDRO II,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:22.696000
CANAL DA HISTÓRIA I DUQUE DE CAXIAS.mp4,CANAL DA HISTÓRIA - DUQUE DE CAXIAS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:22.915000
CANAL DA HISTÓRIA I FLORIANO PEIXOTO.mp4,CANAL DA HISTÓRIA - FLORIANO PEIXOTO,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:23.144000
CANAL DA HISTÓRIA I GETÚLIO VARGAS.mp4,CANAL DA HISTÓRIA - GETÚLIO VARGAS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:23.365000
CANAL DA HISTÓRIA I GRANDE PRÊMIO DO CANAL DA HISTÓRIA.mp4,CANAL DA HISTÓRIA - GRANDE PRÊMIO DO CANAL,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:23.598000
CANAL DA HISTÓRIA I JÂNIO QUADROS.mp4,CANAL DA HISTÓRIA - JÂNIO QUADROS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 11:08:24.031000
