COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_FORMAT_DETECTADO,BLOB_WxH,FILE_SALVO,STATUS,COM_ULTIMA_ALTERACAO
MAIS UFOP CEAD - MATEMÁTICA.mp4,MAIS UFOP CEAD - MATEMÁTICA,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 13:48:18.524000
GRUFOP - EPISÓDIO 9.mp4,GRUFOP - EPISÓDIO 9,1,BMP,160x90,C:\EPG\thumbs\GRUFOP - EPISÓDIO 9.jpg,OK,2025-07-30 15:20:48.249000
VEM VER - EPISÓDIO 5 - POVOS ORIGINÁRIOS .mp4,VEM VER - EP 5 - POVOS ORIGINÁRIOS ,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 5 - POVOS ORIGINÁRIOS .jpg,OK,2025-08-25 10:39:04.899000
VEM VER - EPISÓDIO 6 - SERRAS.mp4,VEM VER - EP 6 - SERRAS,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 6 - SERRAS.jpg,OK,2025-08-25 10:39:11.144000
NA ESTRADA - ÍNDIA MORENA.mp4,NA ESTRADA - ÍNDIA MORENA,1,BMP,160x90,C:\EPG\thumbs\NA ESTRADA - ÍNDIA MORENA.jpg,OK,2025-05-26 13:49:57.144000
VEM VER - EPISÓDIO 7 - CAVERNAS .mp4,VEM VER - EP 7 - CAVERNAS ,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 7 - CAVERNAS .jpg,OK,2025-08-25 10:39:16.982000
NA ESTRADA - MESTRE NADO.mp4,NA ESTRADA - MESTRE NADO,1,BMP,160x90,C:\EPG\thumbs\NA ESTRADA - MESTRE NADO.jpg,OK,2025-05-26 13:49:03.241000
VEM VER - EPISÓDIO 8 - SOL E MAR.mp4,VEM VER - EP 8 - SOL E MAR,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 8 - SOL E MAR.jpg,OK,2025-08-25 10:39:22.842000
IAGORA ENTREVISTA - IA PARA PROFESSORES E GESTORES EDUCACIONAIS (BLOCO 1) .mp4,IAGORA ENTREVISTA - IA PARA PROFESSORES E GESTORES EDUCACIONAIS,1,BMP,160x90,C:\EPG\thumbs\IAGORA ENTREVISTA - IA PARA PROFESSORES E GESTORES EDUCACIONAIS (BLOCO 1) .jpg,OK,2025-09-02 10:38:35.382000
VEM VER - EPISÓDIO 9 - SOL E MAR II.mp4,VEM VER - EP 9 - SOL E MAR II,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 9 - SOL E MAR II.jpg,OK,2025-08-25 10:39:28.937000
FORMAS DE MUDAR O MUNDO - 7.mp4,FORMAS DE MUDAR O MUNDO - EP7,1,BMP,160x90,C:\EPG\thumbs\FORMAS DE MUDAR O MUNDO - 7.jpg,OK,2025-08-28 14:48:48.813000
VEM VER - EPISÓDIO 10 - SOL E MAR III .mp4,VEM VER - EP 10 - SOL E MAR III ,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 10 - SOL E MAR III .jpg,OK,2025-08-25 10:38:00.686000
VEM VER - EPISÓDIO 11 - TURISMO VERDE .mp4,VEM VER - EP 11 - TURISMO VERDE ,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 11 - TURISMO VERDE .jpg,OK,2025-08-25 10:38:07.656000
"IAGORA ENTREVISTA -  IA, IDENTIDADES E LINGUAGEM (BLOCO 2) .mp4","IAGORA ENTREVISTA - IA, IDENTIDADES E LINGUAGEM",1,BMP,160x90,"C:\EPG\thumbs\IAGORA ENTREVISTA -  IA, IDENTIDADES E LINGUAGEM (BLOCO 2) .jpg",OK,2025-09-02 10:40:17.313000
VEM VER - EPISÓDIO 12 - FESTAS POPULARES .mp4,VEM VER - EP 12 - FESTAS POPULARES ,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 12 - FESTAS POPULARES .jpg,OK,2025-08-25 10:38:17.376000
VEM VER - EPISÓDIO 13 - SERRAS II .mp4,VEM VER - EP 13 - SERRAS II ,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 13 - SERRAS II .jpg,OK,2025-08-25 10:38:23.038000
UFOP EXPLICA - TEORIA DAS FILAS.mp4,UFOP EXPLICA - TEORIA DAS FILAS,1,,,,"ERRO_BLOB: ('Cursor.read_output_blob/isc_open_blob2:\n- SQLCODE: -904\n- invalid database handle (no active connection)', -904, 335544324)",2025-09-18 13:51:15.898000
VEM VER - EPISÓDIO 14 - TURISMO DE AVENTURA E TURISMO RELIGIOSO.mp4,VEM VER - EP 14 - TURISMO DE AVENTURA E RELIGIOSO,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 14 - TURISMO DE AVENTURA E TURISMO RELIGIOSO.jpg,OK,2025-09-22 10:37:33.333000
"IAGORA ENTREVISTA -  IA, IDENTIDADES E LINGUAGEM (BLOCO 1) .mp4","IAGORA ENTREVISTA - IA, IDENTIDADES E LINGUAGEM",1,BMP,160x90,"C:\EPG\thumbs\IAGORA ENTREVISTA -  IA, IDENTIDADES E LINGUAGEM (BLOCO 1) .jpg",OK,2025-09-02 10:40:11.162000
VEM VER - EPISÓDIO 15 - CENTROS HISTÓRICOS E PONTOS TURÍSTICOS.mp4,VEM VER - EP 15 - CENTROS HISTÓRICOS E PONTOS TURÍ,1,BMP,160x90,C:\EPG\thumbs\VEM VER - EPISÓDIO 15 - CENTROS HISTÓRICOS E PONTOS TURÍSTICOS.jpg,OK,2025-08-25 10:38:38.998000
FIU - COLETIVOS - LABMECA.mp4,FIU - COLETIVOS - LABMECA,1,BMP,160x90,C:\EPG\thumbs\FIU - COLETIVOS - LABMECA.jpg,OK,2025-07-18 09:59:50.880000
