COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_ABRE,BLOB_WxH,FILE_ESPERADO,FILE_ENCONTRADO,FILE_ABRE,FILE_WxH,AHASH_DIST_0..64,STATUS,COM_ULTIMA_ALTERACAO,URL_ESPERADA
PÉ DA LETRA I NEM QUE A VACA TUSSA.mp4,PÉ DA LETRA (2014) - NEM QUE A VACA TUSSA,1,0,,C:\EPG\thumbs\PÉ DA LETRA I NEM QUE A VACA TUSSA.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:29:40.822000,https://app.tvufop.com.br/epg/P%C3%89%20DA%20LETRA%20I%20NEM%20QUE%20A%20VACA%20TUSSA.jpg
PÉ DA LETRA I OLHOS DA CARA.mp4,PÉ DA LETRA (2014) - CUSTA OS OLHOS DA CARA,1,0,,C:\EPG\thumbs\PÉ DA LETRA I OLHOS DA CARA.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:29:32.373000,https://app.tvufop.com.br/epg/P%C3%89%20DA%20LETRA%20I%20OLHOS%20DA%20CARA.jpg
PÉ DA LETRA I PÉ DA LETRA.mp4,PÉ DA LETRA (2014) - AO PÉ DA LETRA,1,0,,C:\EPG\thumbs\PÉ DA LETRA I PÉ DA LETRA.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:29:12.950000,https://app.tvufop.com.br/epg/P%C3%89%20DA%20LETRA%20I%20P%C3%89%20DA%20LETRA.jpg
PÉ DA LETRA I PÉ D'ÁGUA.mp4,PÉ DA LETRA (2014) - PÉ D'ÁGUA,1,0,,C:\EPG\thumbs\PÉ DA LETRA I PÉ D'ÁGUA.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:29:50.853000,https://app.tvufop.com.br/epg/P%C3%89%20DA%20LETRA%20I%20P%C3%89%20D%27%C3%81GUA.jpg
PERIPATETICOS I SENTIDO DA VIDA.mp4,PERIPATÉTICOS (2013) - EP1 - O SENTIDO DA VIDA,1,1,160x90,C:\EPG\thumbs\PERIPATETICOS I SENTIDO DA VIDA.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-01 13:10:25.628000,https://app.tvufop.com.br/epg/PERIPATETICOS%20I%20SENTIDO%20DA%20VIDA.jpg
PERIPATETICOS I A MORTE.mp4,PERIPATÉTICOS (2013) - EP8 - A MORTE,1,1,160x90,C:\EPG\thumbs\PERIPATETICOS I A MORTE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-01 13:03:01.331000,https://app.tvufop.com.br/epg/PERIPATETICOS%20I%20A%20MORTE.jpg
PERIPATETICOS I AMOR E DESEJO.mp4,PERIPATÉTICOS (2013) - EP2 - AMOR E DESEJO,1,1,160x90,C:\EPG\thumbs\PERIPATETICOS I AMOR E DESEJO.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-01 13:03:15.067000,https://app.tvufop.com.br/epg/PERIPATETICOS%20I%20AMOR%20E%20DESEJO.jpg
PERIPATETICOS I ARTE.mp4,PERIPATÉTICOS (2013) - EP5 - A ARTE,1,1,160x90,C:\EPG\thumbs\PERIPATETICOS I ARTE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-01 13:10:50.941000,https://app.tvufop.com.br/epg/PERIPATETICOS%20I%20ARTE.jpg
PERIPATETICOS I CÍNICOS.mp4,PERIPATÉTICOS (2013) - EP6 - CÍNICOS,1,1,160x90,C:\EPG\thumbs\PERIPATETICOS I CÍNICOS.jpg,C:\EPG\thumbs\PERIPATETICOS I CÍNICOS.jpg,1,160x90,0,OK,2025-09-01 13:03:38.786000,https://app.tvufop.com.br/epg/PERIPATETICOS%20I%20C%C3%8DNICOS.jpg
PERIPATETICOS I ÉTICA.mp4,PERIPATÉTICOS (2013) - EP3 - ÉTICA,1,1,160x90,C:\EPG\thumbs\PERIPATETICOS I ÉTICA.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-01 13:03:47.330000,https://app.tvufop.com.br/epg/PERIPATETICOS%20I%20%C3%89TICA.jpg
