COM_LOCALIZACAO,COM_NOME,BLOB_PRESENTE,BLOB_ABRE,BLOB_WxH,FILE_ESPERADO,FILE_ENCONTRADO,FILE_ABRE,FILE_WxH,AHASH_DIST_0..64,STATUS,COM_ULTIMA_ALTERACAO,URL_ESPERADA
EXCLUSIVA I VITROLAB.mp4,EXCLUSIVA - VITROLAB,1,1,160x90,C:\EPG\thumbs\EXCLUSIVA I VITROLAB.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-28 12:51:39.858000,https://app.tvufop.com.br/epg/EXCLUSIVA%20I%20VITROLAB.jpg
DIA D I ORGANIZAÇÃO MUNDIAL DA SAÚDE.mp4,DIA D (2023) - EP2 - ORGANIZAÇÃO MUNDIAL DA SAÚDE,1,1,160x90,C:\EPG\thumbs\DIA D I ORGANIZAÇÃO MUNDIAL DA SAÚDE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-27 12:31:08.447000,https://app.tvufop.com.br/epg/DIA%20D%20I%20ORGANIZA%C3%87%C3%83O%20MUNDIAL%20DA%20SA%C3%9ADE.jpg
PÉ DA LETRA I PICAR A MULA.mp4,PÉ DA LETRA (2014) - PICAR A MULA,1,0,,C:\EPG\thumbs\PÉ DA LETRA I PICAR A MULA.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:28:09.260000,https://app.tvufop.com.br/epg/P%C3%89%20DA%20LETRA%20I%20PICAR%20A%20MULA.jpg
DIA D I PREVENÇÃO E SAÚDE.mp4,DIA D (2023) - EP1 - PREVENÇÃO E SAÚDE,1,1,160x90,C:\EPG\thumbs\DIA D I PREVENÇÃO E SAÚDE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-27 12:30:48.398000,https://app.tvufop.com.br/epg/DIA%20D%20I%20PREVEN%C3%87%C3%83O%20E%20SA%C3%9ADE.jpg
DIA D I IST.mp4,DIA D (2024) - EP1 - IST,1,1,160x90,C:\EPG\thumbs\DIA D I IST.jpg,C:\EPG\thumbs\DIA D I IST.jpg,1,160x90,1,OK,2025-09-18 12:08:41.270000,https://app.tvufop.com.br/epg/DIA%20D%20I%20IST.jpg
DIA D I SISTEMA ÚNICO DE SAÚDE.mp4,DIA D (2023) - EP4 - SISTEMA ÚNICO DE SAÚDE,1,1,160x90,C:\EPG\thumbs\DIA D I SISTEMA ÚNICO DE SAÚDE.jpg,C:\EPG\thumbs\DIA D I SISTEMA ÚNICO DE SAÚDE.jpg,1,160x90,3,OK,2025-08-27 12:32:06.748000,https://app.tvufop.com.br/epg/DIA%20D%20I%20SISTEMA%20%C3%9ANICO%20DE%20SA%C3%9ADE.jpg
DIA D I MINISTÉRIO DA SAÚDE.mp4,DIA D (2023) - EP3 - MINISTÉRIO DA SAÚDE,1,1,160x90,C:\EPG\thumbs\DIA D I MINISTÉRIO DA SAÚDE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-27 12:31:30.346000,https://app.tvufop.com.br/epg/DIA%20D%20I%20MINIST%C3%89RIO%20DA%20SA%C3%9ADE.jpg
EXCLUSIVA I AFRORAGGA FLOWMAN.mp4,EXCLUSIVA - AFRORAGGA FLOWMAN,1,1,160x90,C:\EPG\thumbs\EXCLUSIVA I AFRORAGGA FLOWMAN.jpg,C:\EPG\thumbs\EXCLUSIVA I AFRORAGGA FLOWMAN.jpg,1,160x90,0,OK,2025-08-28 12:49:24.780000,https://app.tvufop.com.br/epg/EXCLUSIVA%20I%20AFRORAGGA%20FLOWMAN.jpg
(IN)CONFIDÊNCIAS I JOEL ZITO EP4.mp4,(IN)CONFIDÊNCIAS (2025) - EP4 - JOEL ZITO,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I JOEL ZITO EP4.jpg,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I JOEL ZITO EP4.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-16 14:55:23.236000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20JOEL%20ZITO%20EP4.jpg
DIA D I DIU.mp4,DIA D (2024) - EP3 - DIU,1,1,160x90,C:\EPG\thumbs\DIA D I DIU.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-09-18 12:08:41.306000,https://app.tvufop.com.br/epg/DIA%20D%20I%20DIU.jpg
EXCLUSIVA I AS FULÔ DO CERRADO.mp4,EXCLUSIVA - AS FULÔ DO CERRADO,1,1,160x90,C:\EPG\thumbs\EXCLUSIVA I AS FULÔ DO CERRADO.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-28 12:49:31.960000,https://app.tvufop.com.br/epg/EXCLUSIVA%20I%20AS%20FUL%C3%94%20DO%20CERRADO.jpg
DIA D I EXAME PREVENTIVO.mp4,DIA D (2024) - EP4 - EXAME PREVENTIVO,1,0,,C:\EPG\thumbs\DIA D I EXAME PREVENTIVO.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 12:08:41.360000,https://app.tvufop.com.br/epg/DIA%20D%20I%20EXAME%20PREVENTIVO.jpg
DIA D I HPV.mp4,DIA D (2024) - EP2 - HPV,1,1,160x90,C:\EPG\thumbs\DIA D I HPV.jpg,C:\EPG\thumbs\DIA D I HPV.jpg,1,160x90,1,OK,2025-09-18 12:08:41.272000,https://app.tvufop.com.br/epg/DIA%20D%20I%20HPV.jpg
(IN)CONFIDÊNCIAS I MIA COUTO EP9.mp4,(IN)CONFIDÊNCIAS (2025) - EP9 - MIA COUTO,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I MIA COUTO EP9.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:55:44.464000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20MIA%20COUTO%20EP9.jpg
(IN)CONFIDÊNCIAS I MIA COUTO EP10.mp4,(IN)CONFIDÊNCIAS (2025) - EP10 - MIA COUTO,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I MIA COUTO EP10.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:56:26.890000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20MIA%20COUTO%20EP10.jpg
(IN)CONFIDÊNCIAS I ROBERT DARNTON EP11.mp4,(IN)CONFIDÊNCIAS (2025) - EP11 - ROBERT DARNTON,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I ROBERT DARNTON EP11.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:54:38.497000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20ROBERT%20DARNTON%20EP11.jpg
IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 1).mp4,IAGORA ENTREVISTA - GAMIFICAÇÃO E IA,1,1,160x90,C:\EPG\thumbs\IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 1).jpg,C:\EPG\thumbs\IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 1).jpg,1,160x90,1,OK,2025-09-02 12:37:12.886000,https://app.tvufop.com.br/epg/IAGORA%20ENTREVISTA%20I%20GAMIFICA%C3%87%C3%83O%20E%20IA%20TRANSFORMANDO%20A%20EDUCA%C3%87%C3%83O%20%28BLOCO%201%29.jpg
(IN)CONFIDÊNCIAS I ROBERT DARNTON EP12.mp4,(IN)CONFIDÊNCIAS (2025) - EP12 - ROBERT DARNTON,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I ROBERT DARNTON EP12.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:54:48.379000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20ROBERT%20DARNTON%20EP12.jpg
IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 2).mp4,IAGORA ENTREVISTA - GAMIFICAÇÃO E IA,1,1,160x90,C:\EPG\thumbs\IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 2).jpg,C:\EPG\thumbs\IAGORA ENTREVISTA I GAMIFICAÇÃO E IA TRANSFORMANDO A EDUCAÇÃO (BLOCO 2).jpg,1,160x90,0,OK,2025-09-02 12:37:24.037000,https://app.tvufop.com.br/epg/IAGORA%20ENTREVISTA%20I%20GAMIFICA%C3%87%C3%83O%20E%20IA%20TRANSFORMANDO%20A%20EDUCA%C3%87%C3%83O%20%28BLOCO%202%29.jpg
(IN)CONFIDÊNCIAS I ADÉLIA PRADO EP1.mp4,(IN)CONFIDÊNCIAS (2025) - EP1 - ADÉLIA PRADO,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I ADÉLIA PRADO EP1.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:54:53.694000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20AD%C3%89LIA%20PRADO%20EP1.jpg
(IN)CONFIDÊNCIAS I ADÉLIA PRADO EP2.mp4,(IN)CONFIDÊNCIAS (2025) - EP2 - ADÉLIA PRADO,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I ADÉLIA PRADO EP2.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:55:13.043000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20AD%C3%89LIA%20PRADO%20EP2.jpg
(IN)CONFIDÊNCIAS I JOÃO MOREIRA SALLES EP7.mp4,(IN)CONFIDÊNCIAS (2025) - EP7 - JOÃO MOREIRA SALLES,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I JOÃO MOREIRA SALLES EP7.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:55:36.087000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20JO%C3%83O%20MOREIRA%20SALLES%20EP7.jpg
(IN)CONFIDÊNCIAS I JOÃO MOREIRA SALLES EP8.mp4,(IN)CONFIDÊNCIAS (2025) - EP8 - JOÃO MOREIRA SALLES,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I JOÃO MOREIRA SALLES EP8.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-16 14:55:40.181000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20JO%C3%83O%20MOREIRA%20SALLES%20EP8.jpg
[EM]CANTOS I MARGARIDAS.mp4,[EM]CANTOS - MARGARIDAS,1,1,160x90,C:\EPG\thumbs\[EM]CANTOS I MARGARIDAS.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-25 14:07:08.500000,https://app.tvufop.com.br/epg/%5BEM%5DCANTOS%20I%20MARGARIDAS.jpg
(IN)CONFIDÊNCIAS I JOEL ZITO EP3.mp4,(IN)CONFIDÊNCIAS (2025) - EP3 - JOEL ZITO,1,0,,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I JOEL ZITO EP3.jpg,C:\EPG\thumbs\(IN)CONFIDÊNCIAS I JOEL ZITO EP3.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-16 14:55:18.576000,https://app.tvufop.com.br/epg/%28IN%29CONFID%C3%8ANCIAS%20I%20JOEL%20ZITO%20EP3.jpg
[EM]CANTOS I RSCO TORTO.mp4,[EM]CANTOS - R/SCO TORTO,1,1,160x90,C:\EPG\thumbs\[EM]CANTOS I RSCO TORTO.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-25 14:07:41.028000,https://app.tvufop.com.br/epg/%5BEM%5DCANTOS%20I%20RSCO%20TORTO.jpg
(EM)CANTOS I AFRO HONEY.mp4,[EM]CANTOS - AFRO HONEY,1,1,160x90,C:\EPG\thumbs\(EM)CANTOS I AFRO HONEY.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-28 10:07:50.116000,https://app.tvufop.com.br/epg/%28EM%29CANTOS%20I%20AFRO%20HONEY.jpg
(EM)CANTOS I BATALHA DA ESCADA.mp4,[EM]CANTOS - BATALHA DA ESCADA,1,1,160x90,C:\EPG\thumbs\(EM)CANTOS I BATALHA DA ESCADA.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-26 10:11:31.880000,https://app.tvufop.com.br/epg/%28EM%29CANTOS%20I%20BATALHA%20DA%20ESCADA.jpg
(EM)CANTOS I ELLEFANTE.mp4,[EM]CANTOS - ELLEFANTE,1,1,160x90,C:\EPG\thumbs\(EM)CANTOS I ELLEFANTE.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-26 10:11:25.545000,https://app.tvufop.com.br/epg/%28EM%29CANTOS%20I%20ELLEFANTE.jpg
(EM)CANTOS I MARCELO CAFÉ.mp4,[EM]CANTOS - MARCELO CAFÉ,1,1,160x90,C:\EPG\thumbs\(EM)CANTOS I MARCELO CAFÉ.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-26 10:11:18.865000,https://app.tvufop.com.br/epg/%28EM%29CANTOS%20I%20MARCELO%20CAF%C3%89.jpg
(EM)CANTOS I PRETO COSMO.mp4,[EM]CANTOS - PRETO COSMO,1,1,160x90,C:\EPG\thumbs\(EM)CANTOS I PRETO COSMO.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-26 10:11:12.224000,https://app.tvufop.com.br/epg/%28EM%29CANTOS%20I%20PRETO%20COSMO.jpg
(EM)CANTOS I VÍRGULAS.mp4,[EM]CANTOS - VÍRGULAS,1,1,160x90,C:\EPG\thumbs\(EM)CANTOS I VÍRGULAS.jpg,C:\EPG\thumbs\(EM)CANTOS I VÍRGULAS.jpg,1,160x90,0,OK,2025-08-26 10:11:04.034000,https://app.tvufop.com.br/epg/%28EM%29CANTOS%20I%20V%C3%8DRGULAS.jpg
[EM]CANTOS I AMANDA MAIA.mp4,[EM]CANTOS - AMANDA MAIA,1,1,160x90,C:\EPG\thumbs\[EM]CANTOS I AMANDA MAIA.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-25 14:05:38.501000,https://app.tvufop.com.br/epg/%5BEM%5DCANTOS%20I%20AMANDA%20MAIA.jpg
[EM]CANTOS I DENARO.mp4,[EM]CANTOS - DENARO,1,1,160x90,C:\EPG\thumbs\[EM]CANTOS I DENARO.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-25 14:05:45.588000,https://app.tvufop.com.br/epg/%5BEM%5DCANTOS%20I%20DENARO.jpg
[EM]CANTOS I GAIVOTA NAVES.mp4,[EM]CANTOS - GAIVOTA NAVES,1,1,160x90,C:\EPG\thumbs\[EM]CANTOS I GAIVOTA NAVES.jpg,C:\EPG\thumbs\[EM]CANTOS I GAIVOTA NAVES.jpg,1,160x90,0,OK,2025-08-25 14:05:53.404000,https://app.tvufop.com.br/epg/%5BEM%5DCANTOS%20I%20GAIVOTA%20NAVES.jpg
[EM]CANTOS I GALINHA PRETA.mp4,[EM]CANTOS - GALINHA PRETA,1,1,160x90,C:\EPG\thumbs\[EM]CANTOS I GALINHA PRETA.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-25 14:05:59.756000,https://app.tvufop.com.br/epg/%5BEM%5DCANTOS%20I%20GALINHA%20PRETA.jpg
[EM]CANTOS I JULLYANA FRESAN.mp4,[EM]CANTOS - JULLYANA FRESAN,1,1,160x90,C:\EPG\thumbs\[EM]CANTOS I JULLYANA FRESAN.jpg,C:\EPG\thumbs\[EM]CANTOS I JULLYANA FRESAN.jpg,1,160x90,0,OK,2025-08-25 14:06:52.951000,https://app.tvufop.com.br/epg/%5BEM%5DCANTOS%20I%20JULLYANA%20FRESAN.jpg
[EM]CANTOS I LIBERDADE SINFONIA.mp4,[EM]CANTOS - LIBERDADE SINFONIA,1,1,160x90,C:\EPG\thumbs\[EM]CANTOS I LIBERDADE SINFONIA.jpg,,0,,,ARQUIVO_NAO_ENCONTRADO,2025-08-25 14:07:01.117000,https://app.tvufop.com.br/epg/%5BEM%5DCANTOS%20I%20LIBERDADE%20SINFONIA.jpg
A CAVERNA DE PETRA I EPISÓDIO 12.mp4,A CAVERNA DE PETRA - EP12 - PRINTI PERFEITA,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 12.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:36:25.931000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%2012.jpg
A CAVERNA DE PETRA I EPISÓDIO 13.mp4,A CAVERNA DE PETRA - EP13 - (DES)INFORMAÇÃO,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 13.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:36:32.643000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%2013.jpg
A CAVERNA DE PETRA I EPISÓDIO 1.mp4,A CAVERNA DE PETRA - EP1 - CRESCER OU NÃO CRESCER?,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 1.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:36:05.482000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%201.jpg
A CAVERNA DE PETRA I EPISÓDIO 2.mp4,A CAVERNA DE PETRA - EP2 - O CARAPAÇA,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 2.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:36:47.253000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%202.jpg
A CAVERNA DE PETRA I EPISÓDIO 3.mp4,A CAVERNA DE PETRA - EP3 - SOLTE SUA VOZ,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 3.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:36:53.677000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%203.jpg
A CAVERNA DE PETRA I EPISÓDIO 4.mp4,A CAVERNA DE PETRA - EP4 - JARDINEIRA,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 4.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:37:00.364000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%204.jpg
A CAVERNA DE PETRA I EPISÓDIO 5.mp4,A CAVERNA DE PETRA - EP5 - MEDO DE ESCURO,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 5.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:37:06.563000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%205.jpg
A CENA MUDA I A TRAPEZISTA.mp4,A CENA MUDA (2015) - EP3 - A TRAPEZISTA,1,0,,C:\EPG\thumbs\A CENA MUDA I A TRAPEZISTA.jpg,C:\EPG\thumbs\A CENA MUDA I A TRAPEZISTA.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-19 09:43:35.905000,https://app.tvufop.com.br/epg/A%20CENA%20MUDA%20I%20A%20TRAPEZISTA.jpg
A CAVERNA DE PETRA I EPISÓDIO 6.mp4,A CAVERNA DE PETRA - EP6 - MURO ROSANIL,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 6.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:37:12.932000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%206.jpg
A CAVERNA DE PETRA I EPISÓDIO 7.mp4,A CAVERNA DE PETRA - EP7 - O AGENTE NADA SECRETO,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 7.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-17 14:37:19.254000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%207.jpg
A CAVERNA DE PETRA I EPISÓDIO 8.mp4,A CAVERNA DE PETRA - EP8 - ESPELHO MEU,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 8.jpg,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 8.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-17 14:37:25.444000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%208.jpg
A CAVERNA DE PETRA I EPISÓDIO 9.mp4,A CAVERNA DE PETRA - EP9 - A PROVA,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 9.jpg,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 9.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-17 14:37:34.331000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%209.jpg
A CAVERNA DE PETRA I EPISÓDIO 10.mp4,A CAVERNA DE PETRA - EP10 - PLUGADOS,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 10.jpg,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 10.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-17 14:36:12.188000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%2010.jpg
A CAVERNA DE PETRA I EPISÓDIO 11.mp4,A CAVERNA DE PETRA - EP11 - UMA MÃE (IM)PERFEITA,1,0,,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 11.jpg,C:\EPG\thumbs\A CAVERNA DE PETRA I EPISÓDIO 11.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-17 14:36:19.435000,https://app.tvufop.com.br/epg/A%20CAVERNA%20DE%20PETRA%20I%20EPIS%C3%93DIO%2011.jpg
"ALMANAQUE SAÚDE I DIREITOS, GÊNEROS, COLETIVOS .mp4","ALMANAQUE SAÚDE - DIREITOS, GÊNEROS, COLETIVOS",1,0,,"C:\EPG\thumbs\ALMANAQUE SAÚDE I DIREITOS, GÊNEROS, COLETIVOS .jpg","C:\EPG\thumbs\ALMANAQUE SAÚDE I DIREITOS, GÊNEROS, COLETIVOS .jpg",1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-18 10:56:21.064000,https://app.tvufop.com.br/epg/ALMANAQUE%20SA%C3%9ADE%20I%20DIREITOS%2C%20G%C3%8ANEROS%2C%20COLETIVOS%20.jpg
A CENA MUDA I CORTADOR CEBOLA.mp4,A CENA MUDA (2015) - EP4 - CORTANDO CEBOLA,1,0,,C:\EPG\thumbs\A CENA MUDA I CORTADOR CEBOLA.jpg,C:\EPG\thumbs\A CENA MUDA I CORTADOR CEBOLA.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-19 09:43:36.001000,https://app.tvufop.com.br/epg/A%20CENA%20MUDA%20I%20CORTADOR%20CEBOLA.jpg
ALÉM DOS MUROS I ARTHUR E RAQUEL.mp4,ALÉM DOS MUROS (2024) - ARTHUR E RAQUEL,1,0,,C:\EPG\thumbs\ALÉM DOS MUROS I ARTHUR E RAQUEL.jpg,C:\EPG\thumbs\ALÉM DOS MUROS I ARTHUR E RAQUEL.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-16 14:58:01.962000,https://app.tvufop.com.br/epg/AL%C3%89M%20DOS%20MUROS%20I%20ARTHUR%20E%20RAQUEL.jpg
A CENA MUDA I EU VOU TE CONTAR.mp4,A CENA MUDA (2015) - EP2 - EU VOU TE CONTAR,1,0,,C:\EPG\thumbs\A CENA MUDA I EU VOU TE CONTAR.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-19 09:43:35.695000,https://app.tvufop.com.br/epg/A%20CENA%20MUDA%20I%20EU%20VOU%20TE%20CONTAR.jpg
A CENA MUDA I GUARDADOR DE REBANHOS.mp4,A CENA MUDA (2015) - EP1 - GUARDADOR DE REBANHOS,1,0,,C:\EPG\thumbs\A CENA MUDA I GUARDADOR DE REBANHOS.jpg,C:\EPG\thumbs\A CENA MUDA I GUARDADOR DE REBANHOS.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-19 09:43:35.442000,https://app.tvufop.com.br/epg/A%20CENA%20MUDA%20I%20GUARDADOR%20DE%20REBANHOS.jpg
ALÉM DOS MUROS I DALILA XAVIER.mp4,ALÉM DOS MUROS (2024) - DALILA XAVIER,1,0,,C:\EPG\thumbs\ALÉM DOS MUROS I DALILA XAVIER.jpg,C:\EPG\thumbs\ALÉM DOS MUROS I DALILA XAVIER.jpg,1,160x90,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM,2025-09-16 14:58:08.216000,https://app.tvufop.com.br/epg/AL%C3%89M%20DOS%20MUROS%20I%20DALILA%20XAVIER.jpg
ALMANAQUE SAÚDE I DROGAS.mp4,ALMANAQUE SAÚDE - DROGAS,1,0,,C:\EPG\thumbs\ALMANAQUE SAÚDE I DROGAS.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:56:21.284000,https://app.tvufop.com.br/epg/ALMANAQUE%20SA%C3%9ADE%20I%20DROGAS.jpg
ALMANAQUE SAÚDE I ERGONOMIA.mp4,ALMANAQUE SAÚDE - ERGONOMIA,1,0,,C:\EPG\thumbs\ALMANAQUE SAÚDE I ERGONOMIA.jpg,,0,,,BLOB_CORROMPIDO_OU_NAO_E_IMAGEM|ARQUIVO_NAO_ENCONTRADO,2025-09-18 10:56:21.494000,https://app.tvufop.com.br/epg/ALMANAQUE%20SA%C3%9ADE%20I%20ERGONOMIA.jpg
